shoe_name,goat_price,stockx_low_price,stockx_high_price,low_profit,high_profit
Air Jordan 1 Mid 'Black Hyper Royal',174,-1,-1,0,0
Off-White x Wmns Vapor Street 'Laser Fuchsia',130,-1,-1,0,0
Air Max Trainer 3 'Dracula',178,-1,-1,0,0
Air Jordan 5 Retro SP 'Michigan',125,-1,-1,0,0
Air Jordan 1 Retro High SB 'LA To Chicago',451,-1,-1,0,0
Dunk Low Pro SB 'Crater',175,-1,-1,0,0
Wmns Air Jordan 1 Zoom Comfort SE 'Sisterhood',170,-1,-1,0,0
LeBron 18 'Sisterhood',268,-1,-1,0,0
StrangeLove x Dunk Low SB 'Valentine's Day',960,-1,-1,0,0
Comme des Garçons x Air Force 1 Low '07 'Blue ...,360,-1,-1,0,0
Air Jordan 4 Winter 'Loyal Blue',210,-1,-1,0,0
Air Jordan 1 Retro High OG BG 'Shattered Backb...,318,-1,-1,0,0
Air Jordan 1 High Zoom 'Zen Green',175,-1,-1,0,0
Air Jordan 3 Retro 'White Cement' 2011,450,-1,-1,0,0
Off-White x Air Force 1 Low 'Volt',803,-1,-1,0,0
Air Jordan 1 Retro High OG 'UNC',550,-1,-1,0,0
Air Jordan 1 Retro High OG 'Origin Story',575,-1,-1,0,0
Air Jordan 6 Retro 'Hare',194,-1,-1,0,0
Air Jordan 3 Retro SE 'Unite - CHI Exclusive',155,-1,-1,0,0
Sean Wotherspoon x Air Max 1/97 'Sean Wotherspoon',915,-1,-1,0,0
Yeezy 700 V3 'Azael',674,-1,-1,0,0
Pharrell x NMD Human Race 'Extra Eye - Bold Or...,199,-1,-1,0,0
Air Jordan 4 Retro 'Orange Metallic',244,-1,-1,0,0
Air Jordan 11 Retro GS 'Concord' 2018,175,-1,-1,0,0
Yeezy 500 'Bone White',276,-1,-1,0,0
Air Jordan 1 Retro High OG PS 'Tie-Dye',79,-1,-1,0,0
Fragment Design x Air Jordan 35 'Base Grey',350,-1,-1,0,0
Off-White x Air Presto 'White',610,-1,-1,0,0
Aimé Leon Dore x 550 'Silver',320,-1,-1,0,0
Air Jordan 11 Retro Low 'Navy Snakeskin' 2019,114,-1,-1,0,0
Dunk Low SP 'Brazil' 2020,275,-1,-1,0,0
Off-White x Air VaporMax 'Part 2',620,-1,-1,0,0
Off-White x Air Force 1 Low '07 'MoMA',2899,-1,-1,0,0
Yeezy Boost 380 'Blue Oat Non-Reflective',209,-1,-1,0,0
Air Jordan 5 Retro GS 'Alternate Bel-Air',120,-1,-1,0,0
Air Jordan 1 Low 'Black Toe',245,-1,-1,0,0
Air Jordan 4 Retro 'Alternate 89',150,-1,-1,0,0
Dunk Low SB 'J-Pack Chicago',500,-1,-1,0,0
Yeezy Boost 700 V2 'Hospital Blue',344,-1,-1,0,0
Air Jordan 11 Retro 'Cool Grey' 2010,450,-1,-1,0,0
Air Force 1 Low QS 'Skeleton',375,-1,-1,0,0
Colette x Air Jordan 1 Retro High OG 'Au Revoir',6888,-1,-1,0,0
Off-White x Blazer Mid 'Grim Reapers',530,-1,-1,0,0
Yeezy Boost 350 V2 'Beluga',736,-1,-1,0,0
Balenciaga Speed Trainer 'Black',702,-1,-1,0,0
Air Jordan 11 Retro GS 'Bred' 2019,210,-1,-1,0,0
Pharrell x NMD Human Race 'Light Grey Teal',300,-1,-1,0,0
KAWS x Air Jordan 4 Retro 'Cool Grey',2547,-1,-1,0,0
Aimé Leon Dore x 550 'Evergreen',350,-1,-1,0,0
Union LA x Chuck Taylor All Star High 'White',97,-1,-1,0,0
Zoom Kobe 5 Protro '5x Champ',199,-1,-1,0,0
Kamikaze 2 Mid Retro 'Sonics' 2020,148,-1,-1,0,0
Air Jordan 1 Low 'Smoke Grey',116,-1,-1,0,0
Wmns Air Jordan 1 Mid 'Digital Pink',368,-1,-1,0,0
Wmns Air Force 1 'Pixel White',139,-1,-1,0,0
Grateful Dead x Dunk Low SB 'Yellow Bear',980,-1,-1,0,0
Air Jordan 1 Retro High OG GS 'Smoke Grey',249,-1,-1,0,0
Air Jordan 4 Retro 'Motorsports',330,-1,-1,0,0
Air Jordan 3 Retro 'Court Purple',979,-1,-1,0,0
Yeezy Boost 700 V2 'Vanta',475,-1,-1,0,0
Wmns Air Jordan 1 Mid SE 'Multi Patent',145,-1,-1,0,0
Air Jordan 11 Retro 'Win Like '82',300,-1,-1,0,0
Wmns Air Jordan 1 Mid SE 'Iridescent Trim',248,-1,-1,0,0
Air Jordan 4 Retro LS 'Oreo' 2015,175,-1,-1,0,0
Air Jordan 1 Retro High OG Prm 'Yin Yang',85,-1,-1,0,0
Ruohan Wang x Air Max 90 Flyleather,109,-1,-1,0,0
Wmns Air Max 270,94,-1,-1,0,0
Air Jordan 1 Retro High OG 'Guava Ice',154,-1,-1,0,0
Air Jordan 12 Retro GS 'University Gold',115,-1,-1,0,0
Air Jordan 12 Retro 'FIBA',205,-1,-1,0,0
Sacai x VaporWaffle 'Sail',672,-1,-1,0,0
Gucci Ace 'Fake/Not Print',680,-1,-1,0,0
Off-White x Chuck 70 'White',490,-1,-1,0,0
Air Jordan 1 High Zoom 'Crater',159,-1,-1,0,0
Air Jordan 1 Retro High OG 'Clay Green',200,-1,-1,0,0
Yeezy Boost 700 V2 'Tephra',353,-1,-1,0,0
Off-White x Air Jordan 1 Retro High OG 'White'...,2498,-1,-1,0,0
Air Foamposite Pro 'Halloween',297,-1,-1,0,0
Air Jordan 3 Retro 'Knicks',100,-1,-1,0,0
Air Jordan 1 Retro High OG 'Black Toe' 2016,575,-1,-1,0,0
Air Jordan 1 Low GS 'Light Smoke Grey',159,-1,-1,0,0
Yeezy Boost 380 'Alien',393,-1,-1,0,0
Air Jordan 6 Retro 'UNC',210,-1,-1,0,0
Yeezy Slides 'Desert Sand',279,-1,-1,0,0
Wmns Air VaporMax Flyknit 3 'Triple Black',149,-1,-1,0,0
Air Force 1 '07 'Black',84,-1,-1,0,0
Medicom Toy x Dunk Low SB 'BE@RBRICK',280,-1,-1,0,0
Air VaporMax 3.0 'Snakeskin',149,-1,-1,0,0
Wmns Air Jordan 1 High Zoom 'Halloween',215,-1,-1,0,0
Air VaporMax Plus 'White Platinum',169,-1,-1,0,0
Air Jordan 1 Retro High OG 'Black/White',685,-1,-1,0,0
Kamikaze 2 OG Retro 'Black White' 2020,110,-1,-1,0,0
Air Jordan 1 Low SE GS 'Laser Blue',90,-1,-1,0,0
Air Jordan 1 Low 'Pine Green',130,-1,-1,0,0
Yeezy Slides Kids 'Bone',164,-1,-1,0,0
Air Force 1 Low 'Wheat Mocha',122,-1,-1,0,0
Air Fear of God 1 'Triple Black',449,-1,-1,0,0
Supreme x Air Force 1 Low 'Box Logo - Black',183,-1,-1,0,0
Yeezy Season 7 Desert Boot 'House Wakame',211,-1,-1,0,0
Yeezy Boost 350 V2 GID 'Glow',400,-1,-1,0,0
Air Jordan 1 Low 'Court Purple',175,-1,-1,0,0
Air Jordan 1 Retro High OG 'Blue Moon',229,-1,-1,0,0
Wmns Air Force 1 Shadow 'Washed Coral',136,-1,-1,0,0
Air Jordan 11 Retro 'Cap and Gown',400,-1,-1,0,0
Off-White x Wmns Vapor Street 'Tour Yellow',134,-1,-1,0,0
Air Jordan 5 Retro 'Red Suede',175,-1,-1,0,0
Yeezy Boost 350 V2 'Cinder Reflective',540,-1,-1,0,0
Alexander McQueen Oversized Sneaker 'White Black',440,-1,-1,0,0
Yeezy 500 'Blush',340,-1,-1,0,0
Aimé Leon Dore x 550 'Navy',272,-1,-1,0,0
Air Max 97 'Reflective Bred',150,-1,-1,0,0
Off-White x Wmns Waffle Racer 'Vivid Sky',149,-1,-1,0,0
Yeezy Boost 700 MNVN 'Bone',360,-1,-1,0,0
Yeezy Boost 350 V2 'Red',760,-1,-1,0,0
Air Jordan 1 Retro High OG NRG 'Homage to Home',420,-1,-1,0,0
Air Jordan 1 Retro High OG BG 'Bloodline',332,-1,-1,0,0
Undefeated x Zoom Kobe 5 Protro 'What If Pack'...,500,-1,-1,0,0
Pharrell x NMD Human Race Trail PRD 'Infinite ...,237,-1,-1,0,0
Air Force 1 '07 AN20 'White Black',99,-1,-1,0,0
Air VaporMax Flyknit 3 'Pure Platinum',115,-1,-1,0,0
Dunk Low Pro SB 'Paris',30000,-1,-1,0,0
Off-White x Zoom Fly SP 'Black',325,-1,-1,0,0
Air Jordan 4 Retro 'Green Metallic',300,-1,-1,0,0
Yeezy Boost 350 V2 'Synth Non-Reflective',290,-1,-1,0,0
Air Jordan 1 Mid 'Swoosh Logo - Grey Camo',138,-1,-1,0,0
Yeezy Boost 350 V2 'Static Reflective',400,-1,-1,0,0
Air Jordan 11 Retro '72-10',335,-1,-1,0,0
Air Jordan 11 Retro 'Bred' 2012,415,-1,-1,0,0
Air Max 1 'Grey White',85,-1,-1,0,0
Air Jordan 8 Retro 'Take Flight',150,-1,-1,0,0
Air Jordan 1 Retro High OG GS 'Court Purple 2.0',325,-1,-1,0,0
Air Force 1 '07 LV8 'Worldwide Pack - Glacier ...,142,-1,-1,0,0
Air Jordan 4 Retro NRG 'Raptors - Drake Signature',318,-1,-1,0,0
Air Jordan 12 Retro 'Dark Grey',225,-1,-1,0,0
Wmns Air Jordan 1 Mid Patent SE 'Triple Black',93,-1,-1,0,0
Travis Scott x Dunk Low PRM SB QS 'Cactus Jack...,1700,-1,-1,0,0
Air Jordan 1 GS 'Día de Muertos',245,-1,-1,0,0
Sacai x LDWaffle 'Varsity Blue',600,-1,-1,0,0
Bodega x 997S 'Better Days',198,-1,-1,0,0
Air Jordan 12 Retro 'Gym Red',169,-1,-1,0,0
Wmns Air Jordan 4 Retro 'Mushroom',295,-1,-1,0,0
Off-White x Wmns Vapor Street 'Polarized Blue',145,-1,-1,0,0
Wmns Air Jordan 1 High 'Mushroom',315,-1,-1,0,0
Off-White x Zoom Fly SP 'Tulip Pink',345,-1,-1,0,0
Zoom Kobe 5 Protro 'DeMar DeRozan' PE,210,-1,-1,0,0
Blue The Great x Air Jordan 1 Mid 'Fearless',215,-1,-1,0,0
Air Jordan 1 Retro High OG BG 'Bred Toe',578,-1,-1,0,0
Yeezy Boost 700 V2 'Inertia',350,-1,-1,0,0
Air Jordan 5 Retro GS 'Pink Foam',120,-1,-1,0,0
Wmns Blazer Mid 77 Vintage 'White Black',96,-1,-1,0,0
Sacai x LDWaffle 'Summit White',497,-1,-1,0,0
Wmns Air Force 1 Low LX 'Reveal',150,-1,-1,0,0
Wmns Air Jordan 1 Mid 'UNC',216,-1,-1,0,0
6 Inch Premium Waterproof Boot 'Wheat',120,-1,-1,0,0
Air Jordan 12 Retro 'Reverse Taxi',235,-1,-1,0,0
Air Jordan 3 Retro Tinker 'Air Max 1',160,-1,-1,0,0
Air Jordan 3 Retro 'Mocha' 2018,300,-1,-1,0,0
Air Jordan 1 Mid GS 'Pink Quartz',219,-1,-1,0,0
Pharrell x NMD Human Race 'Inspiration Pack',180,-1,-1,0,0
Dior B23 High 'Dior Oblique',1100,-1,-1,0,0
Air Jordan 1 Retro High OG 'Los Angeles' 2015,175,-1,-1,0,0
Wmns Air Jordan 4 Retro 'Rasta',225,-1,-1,0,0
Yeezy Boost 350 V2 Kids 'Carbon',200,-1,-1,0,0
Air Jordan 1 Low 'Royal Toe',150,-1,-1,0,0
Air Jordan 14 Retro 'Reverse Ferrari',99,-1,-1,0,0
Air Jordan 1 Mid SE GS 'Edge Glow',117,-1,-1,0,0
Air Jordan 1 Retro High OG GS 'Turbo Green',464,-1,-1,0,0
Air Jordan 11 Retro Low 'Bred',360,-1,-1,0,0
Yeezy Boost 350 V2 'True Form',330,-1,-1,0,0
Air Jordan 4 Retro 'Fire Red' 2012,300,-1,-1,0,0
Air Max Plus 'Triple Black',145,-1,-1,0,0
Studio FY7 x 992 'Cream',600,-1,-1,0,0
Air Jordan 4 Retro 'Bred' 2012,397,-1,-1,0,0
Air Jordan 1 Mid SE 'Yellow Toe',195,-1,-1,0,0
Wmns Air Jordan 6 Retro 'Tech Chrome',140,-1,-1,0,0
Air Max 90 'Hyper Royal',80,-1,-1,0,0
Travis Scott x Air Jordan 1 Retro High OG 'Moc...,2153,-1,-1,0,0
Yeezy Boost 380 'Onyx Non-Reflective',1124,-1,-1,0,0
"Tyler, The Creator x Foot Locker x Chuck 70 'A...",86,-1,-1,0,0
Melody Ehsani x Wmns Air Jordan 1 Mid 'Fearless',995,-1,-1,0,0
Denham x Air Max 90 'Infrared',130,-1,-1,0,0
Air Max 97 'Black Terry Cloth',109,-1,-1,0,0
Air Jordan 1 Mid GS 'White Shadow',150,-1,-1,0,0
Sacai x LDWaffle 'Black',570,-1,-1,0,0
Air Jordan 1 Retro High OG 'Storm Blue',325,-1,-1,0,0
Sacai x VaporWaffle 'Black White',614,-1,-1,0,0
Air Jordan 11 Retro 'Platinum Tint',270,-1,-1,0,0
Dunk Low Retro Vol. 1 SP 'Plum',420,-1,-1,0,0
Yeezy Boost 700 'Carbon Blue',300,-1,-1,0,0
Air Force 1 '07 Premium 'Zip Swoosh - White',135,-1,-1,0,0
Air Jordan 1 Low GS 'Smoke Grey',178,-1,-1,0,0
Yeezy Boost 700 'Magnet',420,-1,-1,0,0
Air Jordan 13 Retro 'Lakers',145,-1,-1,0,0
Sean Wotherspoon x Atmos x Gel Lyte 3 'Corduroy',300,-1,-1,0,0
Air Jordan 13 Retro 'Bred' 2017,210,-1,-1,0,0
Yeezy Powerphase Calabasas 'Grey',90,-1,-1,0,0
Off-White x Air Presto 'The Ten',2144,-1,-1,0,0
Olivia Kim x Wmns Air Jordan 4 Retro 'No Cover',230,-1,-1,0,0
Blazer Mid 77 'Sketch - Black',92,-1,-1,0,0
Air Jordan 1 Retro High OG 'Defiant',165,-1,-1,0,0
Zoom Kobe 5 Protro 'EYBL',230,-1,-1,0,0
Air Jordan 12 Retro 'The Master',300,-1,-1,0,0
Air Force 1 Low '07 LV8 'Split',663,-1,-1,0,0
Grateful Dead x Dunk Low SB 'Green Bear',900,-1,-1,0,0
Air Max 1 Premium 'Limeade',95,-1,-1,0,0
Wmns Air VaporMax Flyknit 3 'Oreo',100,-1,-1,0,0
Yeezy Boost 700 V2 'Static',675,-1,-1,0,0
Yeezy Season 7 Desert Boot 'Taupe',250,-1,-1,0,0
Adapt BB 'Nike Mag',560,-1,-1,0,0
Air Jordan 14 Retro 'Candy Cane' 2019,140,-1,-1,0,0
Air Jordan 1 Low 'Paris',360,-1,-1,0,0
Air Max 90 'Mountaineering',101,-1,-1,0,0
992 'Grey',250,-1,-1,0,0
Air Jordan 1 Mid 'Obsidian',119,-1,-1,0,0
Eric Koston x Air Jordan 1 Low SB 'Powder Blue',389,-1,-1,0,0
OVO x Air Jordan 8 Retro Promo 'Kentucky Madness',8050,-1,-1,0,0
Wmns Air Jordan 4 Retro NRG 'Singles Day',145,-1,-1,0,0
Sacai x LDWaffle 'Pine Green',445,-1,-1,0,0
Air Jordan 1 High 'Chicago' 1985,1000,-1,-1,0,0
Air Jordan 3 Retro SE 'Animal Instinct',165,-1,-1,0,0
Air Jordan 1 Retro High '85 'Varsity Red',560,-1,-1,0,0
Stussy x Air Zoom Spiridon Kukini 'White',160,-1,-1,0,0
Yeezy Desert Boot 'Oil',240,-1,-1,0,0
Luka Doncic x Air Jordan 1 Mid SE 'Pregame Pac...,174,-1,-1,0,0
Wmns Air Jordan 1 Mid 'Cactus Flower',136,-1,-1,0,0
Air Max 97 'Vintage Mosaic',144,-1,-1,0,0
Air Jordan 13 Retro 'Hyper Royal',590,-1,-1,0,0
Air Jordan 5 Retro GS 'Satin',139,-1,-1,0,0
Air Max 1 'Evergreen',162,-1,-1,0,0
Wmns Air Force 1 Shadow 'White Magic Flamingo',75,-1,-1,0,0
Air Jordan 4 Retro 'Thunder' 2012,449,-1,-1,0,0
LeBron 18 'James Gang',164,-1,-1,0,0
Travis Scott x Air Force 1 Low PS 'Cactus Jack',180,-1,-1,0,0
Air Jordan 11 Retro Low 'Concord',375,-1,-1,0,0
HUMAN MADE x Pharrell x NMD Hu 'Love',250,-1,-1,0,0
Air Jordan 4 Retro 'Royalty',375,-1,-1,0,0
Air Jordan Future 'Hyper Royal',65,-1,-1,0,0
Kobe A.D. NXT 360 'White Multicolor',149,-1,-1,0,0
Air Jordan 1 Retro High OG 'A Star Is Born',145,-1,-1,0,0
Off-White x Air VaporMax 'The Ten',1190,-1,-1,0,0
Air Jordan 6 Retro 'Maroon' 2015,225,-1,-1,0,0
Air Force 1 '07 LV8 'Added Air',87,-1,-1,0,0
Air Jordan 4 Retro PS 'Pale Citron',58,-1,-1,0,0
Off-White Vulc Low Top 'Black',199,-1,-1,0,0
Yeezy Boost 700 'Salt',329,-1,-1,0,0
Air Max 97 'White Ice',100,-1,-1,0,0
Yeezy Basketball 'Quantum',699,-1,-1,0,0
Off-White x Air Force 1 '07 'Extra Credit',2250,-1,-1,0,0
Off-White x Air Force 1 Low 'The Ten',2124,-1,-1,0,0
Air Jordan 1 Retro High 'White Elephant',85,-1,-1,0,0
Air Force 1 Low '07 PRM 'Just Do It',320,-1,-1,0,0
Air Force 1 React QS 'White Ice',249,-1,-1,0,0
atmos x Air Max Zoom 950 NRG 'Japan',199,-1,-1,0,0
Blazer Mid 77 'Light Bone',70,-1,-1,0,0
Off-White x Air Force 1 'ComplexCon Exclusive',4264,-1,-1,0,0
Air Jordan 14 Retro SE 'Black Ferrari',166,-1,-1,0,0
Air Jordan 1 Low SE 'Fuchsia',76,-1,-1,0,0
Air Jordan 12 Retro 'French Blue' 2016,250,-1,-1,0,0
Yeezy Boost 350 'Pirate Black' 2016,740,-1,-1,0,0
Maison Chateau Rouge x Air Jordan 1 Mid SE 'Fe...,500,-1,-1,0,0
Paris Saint-Germain x Air Jordan 5 Retro 'Pari...,309,-1,-1,0,0
Wmns Air Jordan 1 Mid 'Barely Orange',169,-1,-1,0,0
Off-White x Air Jordan 5 Retro SP PS 'Muslin',399,-1,-1,0,0
Air Max 1 OG 'Anniversary' 2017 Rerelease,215,-1,-1,0,0
Fragment Design x Air Jordan 1 Retro High OG,3204,-1,-1,0,0
Wmns Air Jordan 11 Retro Low 'Pink Snakeskin',189,-1,-1,0,0
Sean Wotherspoon x Superstar 'Super Earth',168,-1,-1,0,0
Atlas x Dunk High SB 'Lost At Sea',420,-1,-1,0,0
Dunk Low Pro SB 'Laser Orange',320,-1,-1,0,0
Ruohan Wang x Blazer Mid ’77 Flyleather,110,-1,-1,0,0
Yeezy Slides 'Resin',194,-1,-1,0,0
Civilist x Dunk Low Pro SB QS 'Thermography',919,-1,-1,0,0
Off-White x Blazer Mid 'The Ten',1499,-1,-1,0,0
Air Max 90 SP 'Reverse Duck Camo',130,-1,-1,0,0
Travis Scott x Air Force 1 'Travis Scott',998,-1,-1,0,0
Ghostbusters x Ghost Smashers 'Ecto-1 Vibes',198,-1,-1,0,0
Yeezy Boost 350 V2 'Hyperspace',425,-1,-1,0,0
Travis Scott x Air Jordan 4 Retro 'Cactus Jack...,9750,-1,-1,0,0
Yeezy Boost 350 V2 'Copper',630,-1,-1,0,0
Wmns Air VaporMax 2020 Flyknit 'Light Arctic Pink',209,-1,-1,0,0
Comme des Garçons Play x Chuck 70 Hi Top 'Mult...,115,-1,-1,0,0
Air Jordan 1 Retro High OG NRG 'Gold Toe',400,-1,-1,0,0
Off-White x Air Max 97 'Black',785,-1,-1,0,0
Air Force 1 Low 'Rucker Park',110,-1,-1,0,0
Alexander McQueen Oversized Sneaker 'All Black',478,-1,-1,0,0
Air Jordan 4 Retro 'Oregon',9950,-1,-1,0,0
Air VaporMax Plus 'Triple Red',155,-1,-1,0,0
Sacai x Blazer Mid 'White Grey',200,-1,-1,0,0
Air Jordan 1 Low SE 'Laser Blue',125,-1,-1,0,0
Air Jordan 1 Mid SE 'Oakland',115,-1,-1,0,0
Air Jordan 1 Low GS 'Game Royal',125,-1,-1,0,0
Air Jordan 6 Retro 'Carmine' 2014,349,-1,-1,0,0
Yeezy 500 'Soft Vision',381,-1,-1,0,0
Air Jordan 13 Retro 'Starfish',1100,-1,-1,0,0
Air Jordan 5 Retro 'Grape' 2013,288,-1,-1,0,0
Air Jordan 3 Retro Tinker SP 'Black Cement',114,-1,-1,0,0
Air Jordan 1 Low GS 'Reverse Bred',88,-1,-1,0,0
Ivy Park x Wmns UltraBoost 'Hi-Res Yellow',285,-1,-1,0,0
Air Max CB 94 Retro 'Varsity Purple' 2020,234,-1,-1,0,0
Air Jordan 4 Retro 'Military Blue' 2012,379,-1,-1,0,0
A-Cold-Wall* x Chuck Taylor All Star Lugged Hi...,215,-1,-1,0,0
Cactus Plant Flea Market x Air Force 1 Low Pre...,259,-1,-1,0,0
Air Jordan 1 Retro High 'Chicago' 2013,755,-1,-1,0,0
Wmns Air Force 1 Low 'Tear Away',149,-1,-1,0,0
SpongeBob SquarePants x Kyrie 5 'Squidward',100,-1,-1,0,0
Kybrid S2 'Pineapple',195,-1,-1,0,0
Ultra 4D 'OG',173,-1,-1,0,0
Air Jordan 11 Retro BG 'Space Jam' 2016,250,-1,-1,0,0
Wmns Air Jordan 1 Low 'Spruce Aura',246,-1,-1,0,0
Air Jordan 4 Retro GS 'Linen',361,-1,-1,0,0
React Element 87 'Anthracite',60,-1,-1,0,0
Off-White x Air Max 90 'The Ten',1699,-1,-1,0,0
Dunk High Pro Premium SB 'Invert Celtics',240,-1,-1,0,0
Wmns Air Jordan 1 Retro High OG 'Twist' Onenes...,714,-1,-1,0,0
UltraBoost 1.0 Retro 'Triple Black' 2020,133,-1,-1,0,0
UltraBoost 2.0 'Triple White',120,-1,-1,0,0
Yeezy 500 'Super Moon Yellow',249,-1,-1,0,0
Balenciaga Wmns Speed 2 Trainer Knit 'Neon Pink',760,-1,-1,0,0
Air Jordan 1 Retro High 'Gold Medal',85,-1,-1,0,0
Air Jordan 4 Retro GS 'Cool Grey' 2019,217,-1,-1,0,0
Balenciaga Triple S 'Fluorescent Green',850,-1,-1,0,0
Air Jordan 9 Retro 'UNC',175,-1,-1,0,0
Air Jordan 1 Retro High OG PS 'Satin Red',70,-1,-1,0,0
Concepts x Dunk Low SB 'Purple Lobster',876,-1,-1,0,0
Air Jordan 1 Low SE 'Nothing But Net',112,-1,-1,0,0
Comme des Garçons x Air Force 1 Mid 'Triple Black',360,-1,-1,0,0
Blazer Mid '77 Vintage 'Celestine Blue',100,-1,-1,0,0
Zoom Kobe 5 Protro 'Chaos' 2020,500,-1,-1,0,0
Off-White x Air Jordan 5 Retro SP TD 'Sail',497,-1,-1,0,0
Air Jordan 13 Retro PS 'Flint' 2020,75,-1,-1,0,0
Air VaporMax 2019 'Ghost Black',100,-1,-1,0,0
Yeezy Powerphase Calabasas 'Core Black',58,-1,-1,0,0
Kasina x Dunk Low 'Road Sign',1320,-1,-1,0,0
Sacai x VaporWaffle SP 'String Villain Red',555,-1,-1,0,0
Yeezy Desert Boot 'Salt',248,-1,-1,0,0
Air Jordan 5 Retro 'Olympic',135,-1,-1,0,0
Air Jordan 12 Retro 'Wool',200,-1,-1,0,0
Air Jordan 1 Retro High OG 'Sail',100,-1,-1,0,0
Fragment Design x Jordan Air Cadence SP 'Parti...,150,-1,-1,0,0
Air Jordan 11 Retro Low 'Cool Grey',250,-1,-1,0,0
